,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4,4,3,5D,4,4,36
1,ブラック,561,416,179,427,425,201,545,437,440,3631
2,ブルー,537,391,179,427,420,195,541,431,440,3561
3,グリーン,516,368,156,402,394,170,536,407,417,3366
4,イエロー,470,317,130,370,347,120,493,335,366,2948
5,シルバー,446,315,128,340,345,120,460,289,300,2743
6,ピンク,367,263,95,220,253,98,380,249,238,2163
7,ホワイト,495,343,144,388,373,146,513,384,405,3191
8,レッド,403,282,125,270,273,113,433,287,260,2446
9,Hdcp,12,14,8,6,10,16,18,2,4,­
