,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,4,3N,4,4D,5,3N,5D,36
1,Back,406,400,413,166,402,376,498,219,572,3452
2,Reg.,387,378,397,155,370,351,481,192,546,3257
3,Front.,361,353,367,140,350,351,462,180,524,3088
4,Gold.,337,319,360,119,304,324,457,165,466,2851
5,Ladies.,252,270,240,119,304,284,376,136,411,2392
6,Pink.,252,279,240,119,247,284,376,136,374,2307
7,Hdcp,14,8,2,18,4,16,12,10,6,­
