,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4D,3,4,5,4,3N,4,5,36
1,Back T.,425,410,139,360,515,461,190,402,610,3512
2,Front,308,391,127,355,490,441,172,382,600,3266
3,Ladies,285,384,121,233,382,224,157,367,465,2618
4,Hdcp,4,10,18,12,8,2,16,14,6,­
