,パインツリーゴルフクラブ　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,5,4,3,4D,36
1,BACK,394,155,515,348,341,619,340,183,403,3298
2,REGULAR,352,137,479,339,316,540,330,166,383,3042
3,LADIES,315,98,431,310,276,435,302,147,286,2600
4,Hdcp,5,13,7,17,11,1,15,9,3,­
