,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4,4,4D,3,4,5,36
1,CHAMPION,402,606,195,400,420,406,220,388,550,3587
2,Member,379,583,162,376,386,377,167,368,528,3326
3,FRONT,355,549,150,350,375,363,147,350,502,3141
4,LADIE’S,329,468,113,336,310,315,131,331,470,2803
5,Hdcp,10,4,16,8,14,2,18,6,12,­
