,日本海,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5D,4,4,5,3N,4,36
1,バック,380,178,447,594,410,386,532,187,345,3459
2,レギュラー,366,166,436,570,395,376,509,170,331,3319
3,フロント,349,151,412,555,380,361,497,170,316,3191
4,ゴールド,314,134,311,475,337,330,413,151,265,2730
5,レディース,314,118,311,375,302,321,413,151,265,2570
6,緑,334,134,311,475,337,345,439,151,316,2842
7,Hdcp,7,9,1,4,2,6,3,5,8,­
