,立山,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,5D,4,4,3N,4,4,36
1,バック,538,190,392,553,367,399,155,384,345,3323
2,レギュラー,523,167,382,496,342,382,147,286,325,3050
3,フロント,497,144,358,480,324,369,139,264,325,2900
4,ゴールド,477,144,298,368,285,281,139,265,293,2550
5,レディース,407,144,298,368,277,273,139,229,223,2358
6,緑,497,114,334,416,309,281,139,300,293,2683
7,Hdcp,9,5,3,4,8,2,7,1,6,­
