,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3,4,5D,4,3N,4,5,36
1,Back,398,338,178,425,584,420,196,388,547,3474
2,Reg.,378,325,158,400,538,394,168,369,524,3254
3,Front.,359,312,139,376,515,370,148,349,498,3066
4,Gold,338,298,120,356,484,346,131,333,460,2866
5,Red,338,264,120,291,484,304,116,287,393,2597
6,Hdcp,10,16,18,4,2,6,14,12,8,­
