,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,5D,4,3N,4,36
1,Back T.,405,475,414,205,374,514,385,166,427,3365
2,Reg,382,453,394,179,355,480,366,146,408,3163
3,Ladies,344,409,287,110,300,434,231,128,349,2592
4,Hdcp,6,7,2,8,3,5,4,9,1,­
