,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4D,4,4,5,3,4,36
1,Back,416,186,472,422,397,378,537,247,359,3414
2,REGULAR,394,168,438,392,375,356,504,208,338,3173
3,LADIES,372,151,388,367,340,345,482,145,311,2901
4,Hdcp,8,18,6,4,16,14,2,12,10,­
