,蘭,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,4.0,4.0,4.0,5D,3N,4.0,36
1,Back T.,592.0,215.0,444.0,388.0,413.0,379.0,542,205,390.0,3568
2,Front,551.0,179.0,408.0,315.0,358.0,338.0,505,155,348.0,3157
3,Ladies,492.0,124.0,368.0,256.0,322.0,298.0,419,137,311.0,2727
4,Hdcp,,,,,,,,,,­
