,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4D,4,5,4,3,4,3N,36
1,Back T.,453,524,385,329,471,329,204,362,168,3225
2,Reg,419,511,363,308,456,308,185,328,145,3023
3,Ladies,305,474,329,286,437,224,101,275,105,2536
4,Hdcp,5,2,3,7,9,1,4,8,6,­
