,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,36
1,Back,375.0,357.0,387.0,519.0,385.0,174.0,583.0,430.0,189.0,3399
2,FRONT,344.0,340.0,362.0,460.0,353.0,147.0,551.0,349.0,133.0,3039
3,Ladies,249.0,283.0,301.0,385.0,280.0,141.0,454.0,297.0,112.0,2502
4,Hdcp,,,,,,,,,,­
