,楠,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,4.0,4.0,4.0,5D,3N,4.0,36
1,Back T.,499.0,180.0,405.0,383.0,454.0,436.0,549,196,396.0,3498
2,Front,452.0,153.0,362.0,330.0,400.0,376.0,504,169,364.0,3110
3,Ladies,410.0,127.0,315.0,282.0,314.0,310.0,434,126,297.0,2615
4,Hdcp,,,,,,,,,,­
