,白山,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,5,4D,3N,5,4,36
1,バック,385,386,155,341,487,391,180,538,390,3253
2,レギュラー,379,376,137,329,470,381,166,522,380,3140
3,フロント,354,358,137,316,448,355,145,496,348,2957
4,ゴールド,343,324,118,301,423,312,145,413,317,2696
5,レディース,327,298,118,231,423,284,145,413,317,2556
6,緑,343,324,118,301,448,312,145,481,332,2804
7,Hdcp,7,8,9,1,4,3,5,6,2,­
