,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,4,4,3N,5D,36
1,Back,527,346,186,430,426,386,320,140,587,3348
2,Front,467,300,175,369,369,356,290,114,538,2978
3,Lady's,446,282,164,338,335,344,276,112,435,2732
4,Hdcp,12,14,10,6,2,8,16,18,4,­
