,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4,3N,4D,5,4,36
1,Back T.,422,533,417,174,422,200,400,541,395,3504
2,Reg,378,502,391,148,402,178,381,521,361,3262
3,Ladies,338,448,330,122,353,103,333,455,310,2792
4,Hdcp,5,6,2,9,1,7,4,3,8,­
