,茜,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3N,4D,4.0,3.0,4.0,4.0,5.0,36
1,Back T.,534.0,366.0,199,406,368.0,163.0,349.0,414.0,504.0,3303
2,Front,489.0,334.0,168,308,335.0,140.0,321.0,381.0,455.0,2931
3,Ladies,457.0,315.0,132,270,298.0,102.0,277.0,319.0,395.0,2565
4,Hdcp,,,,,,,,,,­
