,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Oulun Golfkerho - Sanki,White / 60,M,72,72.5,96.7,130,36.0  /  128,36.5  /  132
,Yellow / 56,M,72,70.4,93.7,126,34.9  /  123,35.5  /  128
,Blue / 51,M,72,68.4,91.0,122,34.1  /  119,34.3  /  124
,Red / 48,M,72,66.5,88.5,118,33.0  /  116,33.5  /  120
,White / 60,F,72,78.0,111.8,144,38.4  /  142,39.6  /  145
,Yellow / 56,F,72,75.5,108.0,138,37.1  /  136,38.4  /  140
,Blue / 51,F,72,73.1,104.4,133,36.1  /  131,37.0  /  134
,Red / 48,F,72,70.8,101.0,128,34.8  /  126,36.0  /  130
Oulun Golfkerho - Vaara,White / 60,M,72,72.5,96.8,131,36.1  /  128,36.4  /  133
,Yellow / 54,M,72,70.0,93.3,126,35.0  /  123,35.0  /  128
,Blue / 50,M,72,67.6,90.1,121,33.8  /  119,33.8  /  123
,Red / 46,M,72,66.0,87.8,118,32.8  /  114,33.2  /  121
,Orange,M,72,60.6,80.4,107,30.2  /  104,30.4  /  109
,White / 60,F,72,78.0,111.9,144,38.7  /  140,39.3  /  148
,Yellow / 54,F,72,75.0,107.3,137,37.4  /  133,37.6  /  141
,Blue / 50,F,72,72.1,102.9,131,36.0  /  128,36.1  /  133
,Red / 46,F,72,70.1,99.9,127,34.7  /  122,35.4  /  131
,Orange,F,72,63.5,90.0,113,31.6  /  109,31.9  /  116
Paltamon Golf,White / 61,M,72,73.4,99.4,140,36.7  /  140,36.7  /  140
,Yellow / 55,M,72,70.3,94.3,129,35.1  /  128,35.2  /  130
,Blue / 51,M,72,68.6,92.0,126,34.6  /  127,34.0  /  125
,Red / 48,M,72,67.1,89.8,123,33.5  /  122,33.6  /  123
,Yellow / 55,F,72,75.4,107.3,135,37.5  /  134,37.9  /  136
,Blue / 51,F,72,73.2,104.1,131,36.8  /  131,36.4  /  130
,Red / 48,F,72,71.4,101.4,127,35.6  /  126,35.8  /  128
Raahentienoon Golf,White / 61,M,72,73.3,97.3,130,36.6  /  129,36.7  /  130
,Yellow / 56,M,72,70.8,93.9,125,35.3  /  123,35.5  /  126
,Blue / 51,M,72,68.5,90.7,120,34.0  /  118,34.5  /  122
,Red / 49,M,72,67.1,88.8,117,33.4  /  115,33.7  /  118
,Short / 38,M,72,61.9,81.2,104,30.9  /  102,31.0  /  105
,Yellow / 56,F,72,76.2,107.3,132,37.7  /  130,38.5  /  134
,Blue / 51,F,72,73.4,103.0,126,36.2  /  123,37.2  /  129
,Red / 49,F,72,71.7,100.5,122,35.4  /  120,36.3  /  124
,Short / 38,F,72,65.3,90.9,108,32.3  /  106,33.0  /  110
Santa Claus Golf Club,White / 60,M,71,71.9,96.4,132,36.4  /  130,35.5  /  133
,Yellow / 54,M,71,69.2,92.6,126,35.1  /  126,34.1  /  126
,Blue / 51,M,71,67.5,90.3,123,34.3  /  122,33.2  /  124
,Red / 45,M,71,64.9,86.6,117,33.0  /  117,31.9  /  116
,Easy / 36,M,71,61.5,82.0,111,31.1  /  109,30.4  /  112
,Yellow / 54,F,71,74.9,105.9,131,37.9  /  131,37.0  /  131
,Blue / 51,F,71,72.9,102.8,126,36.9  /  126,36.0  /  126
,Red / 45,F,71,69.5,97.7,120,35.3  /  120,34.2  /  119
,Easy / 36,F,71,63.7,89.0,107,32.2  /  107,31.5  /  107
Santa Claus Golf Club - Kioski 14 - 9r,White / 60,M,70,71.4,95.2,128,35.7  /  128,35.7  /  128
,Yellow / 54,M,70,69.3,92.4,124,34.7  /  124,34.6  /  124
,Blue / 51,M,70,67.9,90.4,122,34.0  /  121,33.9  /  122
,Red / 48,M,70,65.8,87.6,117,32.9  /  117,32.9  /  117
,Easy / 36,M,70,62.0,82.4,110,31.0  /  110,31.0  /  110
,Yellow / 54,F,70,74.0,104.8,131,37.0  /  131,37.0  /  131
,Blue / 51,F,70,72.3,102.4,128,36.2  /  127,36.1  /  128
,Red / 48,F,70,69.7,98.4,123,34.9  /  122,34.8  /  123
,Easy / 36,F,70,62.8,88.2,108,31.4  /  108,31.4  /  108
Santa Claus Golf Club - Kioski 5 - 9r,White / 60,M,72,72.6,97.8,135,36.3  /  135,36.3  /  135
,Yellow / 54,M,72,69.2,93.0,128,34.6  /  128,34.6  /  128
,Blue / 51,M,72,67.2,90.4,124,33.6  /  124,33.6  /  124
,Red / 48,M,72,63.9,85.8,117,32.0  /  117,31.9  /  117
,Easy / 36,M,72,61.1,81.8,111,30.6  /  111,30.5  /  111
,Yellow / 54,F,72,75.8,106.6,131,37.9  /  131,37.9  /  131
,Blue / 51,F,72,73.4,103.0,126,36.7  /  126,36.7  /  126
,Red / 48,F,72,69.3,96.8,117,34.7  /  116,34.6  /  117
,Easy / 36,F,72,64.5,89.6,107,32.3  /  106,32.2  /  107
St. Lake Golf Club,White,M,70,70.4,93.8,127,35.2  /  127,35.2  /  127
,Yellow,M,70,68.7,91.7,124,34.4  /  124,34.3  /  124
,Red,M,70,66.3,88.5,119,33.2  /  119,33.1  /  119
,Yellow,F,70,74.4,104.6,128,37.2  /  128,37.2  /  128
,Red,F,70,71.5,100.3,122,35.8  /  122,35.7  /  122
Virpiniemi Golf Club,White / 58,M,70,70.0,92.8,123,35.8  /  129,34.2  /  116
,Yellow / 55,M,70,68.6,91.0,121,35.0  /  127,33.6  /  114
,Blue / 51,M,70,66.7,88.4,117,33.9  /  122,32.8  /  112
,Red / 48,M,70,65.2,86.5,114,32.8  /  117,32.4  /  111
,Short / 37,M,70,60.3,80.2,107,30.3  /  109,30.0  /  105
,Yellow / 55,F,70,73.9,103.8,127,38.0  /  137,35.9  /  117
,Blue / 51,F,70,71.6,100.4,122,36.7  /  130,34.9  /  114
,Red / 48,F,70,69.7,97.6,119,35.3  /  125,34.4  /  112
,Short / 37,F,70,63.9,88.9,106,32.4  /  111,31.5  /  101
