,石鎚,1,2,3,4,5,6,7,8,9,計
0,Par,3,5,4,4,4D,4,5,4,3N,36
1,Back,194,520,407,325,391,412,530,440,190,3409
2,Regular1,180,520,394,325,391,382,530,420,172,3314
3,Regular2,158,506,394,298,364,362,502,396,158,3138
4,Front,130,450,379,262,319,342,490,357,136,2865
5,Ladies,130,365,294,262,319,342,429,357,116,2614
6,LadiesGS,130,365,294,151,319,288,343,323,116,2329
7,LadiesSr,130,365,294,151,319,288,429,357,116,2449
8,MidSenior,147,450,379,287,364,342,502,396,136,3003
9,Hdcp,9,6,5,3,7,2,4,1,8,­
