,赤石,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4,5D,4,3N,5,36
1,Back,406,152,390,386,365,474,409,202,566,3350
2,Regular1,396,152,390,372,348,474,398,180,566,3276
3,Regular2,372,139,345,349,348,456,398,165,544,3116
4,Front,351,130,332,327,330,441,371,115,438,2835
5,Ladies,334,120,306,327,299,401,336,115,373,2611
6,LadiesGS,314,120,244,217,299,367,336,115,373,2385
7,LadiesSr,334,120,306,217,299,401,336,115,373,2501
8,MidSenior,351,130,332,349,330,441,371,165,504,2973
9,Hdcp,7,9,3,1,6,8,5,4,2,­
