,別子,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,4,4,3N,4,4D,5,36
1,Back,424,148,524,410,377,211,319,408,523,3344
2,Regular1,424,148,524,410,377,187,319,388,503,3280
3,Regular2,411,138,502,387,361,166,304,370,487,3126
4,Front,369,132,455,345,344,148,288,329,467,2877
5,Ladies,369,132,455,265,289,97,267,297,445,2616
6,LadiesGS,310,90,343,265,289,80,267,297,413,2354
7,LadiesSr,310,132,418,265,289,80,267,297,413,2471
8,MidSenior,388,138,485,365,344,148,288,370,467,2993
9,Hdcp,6,9,7,1,5,4,8,2,3,­
