,チサンカントリークラブ北条　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,5,3N,4,4,5D,36
1,Back,399,168,404,347,574,168,323,352,551,3286
2,Reg.,387,148,385,331,560,155,310,332,529,3137
3,Front,369,144,360,314,539,139,290,317,518,2990
4,Ladies,337,148,301,314,464,139,290,317,459,2769
5,Pink,337,148,301,314,396,139,290,317,338,2580
6,Hdcp,9,11,3,7,1,15,17,13,5,­
