,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,4,4,5,4,3,5D,36
1,Champion,379,387,207,398,412,540,358,178,514,3373
2,Regular,369,369,187,384,394,525,335,161,505,3229
3,Front,350,360,177,372,394,499,322,142,478,3094
4,Gold,327,254,137,308,289,444,278,126,449,2612
5,Green,247,254,137,230,289,336,278,126,338,2235
6,Ladies,317,254,137,308,289,444,278,126,428,2581
7,Purple,317,254,137,230,289,336,278,126,428,2395
8,Silver,327,343,137,359,289,470,278,126,449,2778
9,Hdcp,6,2,10,8,4,18,16,14,12,­
