,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4,4,4,3,5,36
1,Back,377,151,410,356,395,356,352,108,494,2999
2,Reg.,364,141,381,340,370,332,296,101,468,2793
3,Ladies,360,125,360,331,307,312,291,95,393,2574
4,Gold,312,103,320,331,307,312,291,95,393,2464
5,Hdcp,8,16,14,4,2,10,12,18,6,­
