,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4D,3N,4,3,5,4,4,4,36
1,Back,509,271,160,365,205,490,441,440,358,3239
2,Reg.,492,256,148,349,192,479,427,427,343,3113
3,Front,484,256,131,325,179,462,382,361,343,2923
4,Ladies,452,246,125,258,145,435,361,348,324,2694
5,Pink,396,246,125,258,110,381,319,200,324,2359
6,Hdcp,4,18,16,12,10,8,6,2,14,­
