,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,4,5,4,3,4,36
1,Back,337,458,176,446,435,504,399,180,446,3381
2,Regular,319,431,151,401,384,479,386,166,368,3085
3,Front,319,431,151,387,384,466,386,147,368,3039
4,Ladies,299,362,108,354,320,435,259,118,307,2562
5,Hdcp,9,3,15,7,13,1,11,17,5,­
