,東コース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5,4,4,4D,3N,5D,36
1,Black,460,197,396,521,351,401,399,220,611,3556
2,Blue,445,190,387,520,340,365,379,192,553,3371
3,White,445,176,377,489,325,355,372,192,553,3284
4,Green,367,116,314,428,281,315,303,150,463,2737
5,Red,282,116,275,370,281,290,303,145,435,2497
6,Hdcp,4,16,14,8,18,2,12,10,6,­
