,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3,4D,5,3,4,4,4,36
1,Back,395,554,187,387,599,181,398,379,466,3546
2,Regular,371,515,159,373,553,160,377,369,411,3288
3,Gold,351,505,147,337,504,150,365,354,391,3104
4,Green,282,458,141,336,464,142,310,304,344,2781
5,Ladies,281,455,136,335,459,135,305,302,341,2749
6,Pink,241,415,116,295,389,115,260,262,266,2359
7,Hdcp,4,16,12,10,2,14,6,18,8,­
