,椿,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4D,4,3N,4,4,4D,3,5,36
1,Back T.,569,443,388,192,432,372,339,135,585,3455
2,REG,542,426,378,172,416,366,328,111,575,3314
3,FRONT,513,426,344,172,404,355,317,100,569,3200
4,Hdcp,3,1,6,7,2,5,8,9,4,­
