,さつき,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,4,5D,4D,3N,5D,36
1,Back T.,448,374,179,366,372,541,421,184,570,3455
2,Reg.,426,358,164,344,355,519,416,163,555,3300
3,FRONT,405,346,157,316,324,497,407,152,547,3151
4,Hdcp,1,7,9,8,4,3,2,6,5,­
