,西コース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,4,5D,4,3N,4,4,5D,36
1,Blue,344,155,350,569,365,141,381,381,456,3142
2,White,322,139,337,532,336,130,368,364,445,2973
3,Green,305,116,304,492,289,125,318,324,432,2705
4,Red,281,116,304,370,289,108,318,285,360,2431
5,Hdcp,10,16,4,2,8,14,6,12,18,­
