,阿知須コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4,4,3,5,36
1,Back,435,570,420,200,405,420,410,190,515,3565
2,Reg.,420,540,385,180,390,405,400,175,475,3370
3,ladies,369,477,300,150,365,375,345,135,445,2961
4,Hdcp,5,1,13,15,11,7,3,17,9,­
