,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4,3,4D,5,36
1,Back T.,334,400,187,483,425,385,204,420,585,3423
2,Regular T.,316,379,170,466,410,375,186,410,550,3262
3,Ladies T.,297,260,155,383,290,332,126,410,423,2676
4,Hdcp,6,2,8,9,1,4,7,3,5,­
