,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3,4,5,4,3N,4,4,4,36
1,Back,568,231,338,568,460,187,424,444,321,3541
2,Reg.,545,203,325,515,420,139,385,390,300,3222
3,Front,530,167,310,495,400,117,360,370,270,3019
4,Gold,515,127,280,445,350,106,360,330,270,2783
5,Ladies,474,127,280,415,315,106,330,320,270,2637
6,Hdcp,10,12,18,8,4,14,2,6,16,­
