,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4D,4,3N,4,4,5,36
1,Back,505,410,140,415,420,255,410,412,615,3582
2,Reg.,486,360,125,379,390,215,370,375,545,3245
3,Gold,470,350,110,365,367,175,320,344,500,3001
4,Ladies,410,300,105,298,292,125,315,288,373,2506
5,Hdcp,12,16,18,10,6,8,14,2,4,­
