,西コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5D,4,3,4,3N,5D,4,36
1,Blue,348,446,602,408,172,378,159,456,391,3360
2,White,319,350,576,321,160,345,145,417,359,2992
3,Green,305,339,424,261,115,295,119,400,280,2538
4,Red,305,339,420,261,110,295,119,347,280,2476
5,Hdcp,17,9,3,1,13,5,15,11,7,­
