,東コース　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,4,5D,4,3,5D,4,36
1,Black,359,197,408,445,485,372,198,599,388,3451
2,Blue,350,195,385,411,475,355,175,576,380,3302
3,White,339,179,368,411,463,335,170,576,379,3220
4,Green,335,167,320,341,430,310,96,446,304,2749
5,Red,297,109,320,311,363,269,96,446,242,2453
6,Hdcp,3,9,17,1,5,15,13,11,7,­
