,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4D,3N,4,4,5,4,36
1,バック,385,205,601,397,167,464,454,564,355,3592
2,フロント,360,175,562,356,133,411,391,524,341,3253
3,レディース,344,162,452,245,123,283,309,479,331,2728
4,Hdcp,10,16,4,12,18,2,8,6,14,­
