,桜,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,4,3N,4,3,4D,4,5,36
1,BACK,498,421,372,176,339,153,437,334,530,3260
2,REG,476,410,362,168,328,140,426,323,514,3147
3,FRONT,466,410,352,154,320,125,406,306,493,3032
4,Hdcp,7,2,4,5,6,9,1,8,3,­
