,ＩＮ,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,4,4D,3,4,5,36
1,Back T.,415,500,405,159,352,420,206,392,475,3324
2,Regular T.,400,490,390,143,320,405,197,379,460,3184
3,Ladies T.,344,405,307,119,279,327,112,280,387,2560
4,Hdcp,10,8,6,16,12,4,14,2,18,­
