,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,5,4D,3,4,4,4,36
1,Back,539,379,168,590,440,248,356,389,320,3429
2,Reg.,515,350,146,560,400,206,356,375,320,3228
3,Front,500,330,126,530,370,170,340,350,320,3036
4,Gold,485,330,126,468,345,170,340,350,260,2874
5,Ladies,449,275,126,445,275,125,290,260,260,2505
6,Hdcp,7,11,15,1,3,5,13,9,17,­
