,ニュー　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,5,4D,4,4,3,5,36
1,Full Back,432,418,165,579,410,410,371,204,550,3539
2,Back,432,418,165,522,410,410,371,204,550,3482
3,Regular,407,399,149,495,395,381,344,188,514,3272
4,Front,379,375,125,472,373,364,333,168,495,3084
5,Ladies,359,342,125,405,358,347,326,140,477,2879
6,Pink,322,289,125,405,333,285,257,95,412,2523
7,Hdcp,12,4,18,8,2,14,10,16,6,­
