,湯谷,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,5D,3,5,3N,4,36
1,BLACK,411,379,425,429,533,210,503,183,435,3508
2,BLUE,392,357,390,409,508,194,487,178,416,3331
3,WHITE,370,335,373,393,484,176,478,158,401,3168
4,RED,350,295,303,318,399,156,466,148,310,2745
5,Hdcp,6,9,2,1,5,8,4,7,3,­
