,オールド　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4,4,4,3N,5D,36
1,Back,548,348,163,378,398,343,360,195,555,3288
2,Regular,530,330,150,360,380,330,340,175,540,3135
3,Front,510,320,138,346,360,321,340,155,528,3018
4,Ladies,495,320,138,346,306,321,325,140,517,2908
5,Pink,435,320,138,295,295,321,325,125,477,2731
6,Hdcp,3,11,17,1,7,13,9,15,5,­
