,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4D,3N,4,4,5,3,4,5,36
1,Back,307,372,207,351,358,573,151,414,519,3252
2,Regular,291,353,170,335,344,555,134,392,493,3067
3,Front,291,330,125,314,327,527,134,392,493,2933
4,Ladies,279,315,103,311,309,476,131,371,457,2752
5,Pink,239,260,103,267,265,425,131,250,457,2397
6,Hdcp,14,6,16,4,8,12,18,2,10,­
