,須磨　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,4,5D,4,5,3N,4,36
1,Reg.,410,200,330,340,530,370,500,110,320,3110
2,Lady,365,125,315,310,375,340,450,85,295,2660
3,Hdcp,10,6,18,14,2,8,4,12,16,­
