,ロイヤル　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4,3N,5,4,4D,36
1,Back,517,436,405,181,385,158,505,334,417,3338
2,REGULAR,490,410,391,166,334,146,471,320,391,3119
3,Ladies,435,366,268,77,296,124,440,246,334,2586
4,Champ,535,449,430,193,407,160,525,350,439,3488
5,Hdcp,13,7,1,9,5,17,15,11,3,­
