,西,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,5,3,4D,3N,4,35
1,Back,479,312,152,341,453,171,358,172,396,2834
2,Regular,465,298,135,322,435,139,349,140,370,2653
3,Ladies,441,283,124,306,420,117,340,126,352,2509
4,Hdcp,2,4,7,1,6,8,3,9,5,­
