,IN,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3,4,4,4,3N,5D,36
1,BackTee,351,335,543,149,444,315,465,182,502,3286
2,RegularTee,338,319,490,146,392,304,438,167,484,3078
3,FrontTee,323,304,475,131,381,295,411,150,469,2939
4,LadiesTee,290,257,402,104,329,287,289,133,370,2461
5,Hdcp,4,6,3,9,1,8,2,8,5,­
