,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,5D,4,3,4,3N,5,36
1,Back T.,309,383,293,551,376,197,340,205,664,3318
2,Reg.,299,328,271,474,360,140,327,135,516,2850
3,LADIES,277,288,263,454,325,137,277,124,450,2595
4,Hdcp,5,1,9,7,2,6,3,8,4,­
