,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5D,4,4,5,3N,4,4,36
1,BLUE,384,187,571,476,276,460,156,414,420,3344
2,WHITE,340,176,544,441,250,445,141,399,360,3096
3,RED,337,170,471,333,250,440,120,323,307,2751
4,Hdcp,16,12,4,2,14,10,18,6,8,­
