,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4,3,4,4,5D,36
1,Champ,382,170,534,331,385,146,386,529,481,3344
2,Reg.,364,140,499,320,343,120,370,359,471,2986
3,Ladies,243,127,468,263,294,106,337,319,417,2574
4,Hdcp,10,14,6,12,18,16,8,2,4,­
