,東海カントリー倶楽部　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,5,4,3,4D,4,36
1,Back,400,408,500,198,490,370,168,405,375,3314
2,Reg.,381,367,455,153,464,329,150,386,350,3035
3,LADY,332,234,431,139,412,295,120,286,320,2569
4,Hdcp,3,7,5,9,15,17,13,1,11,­
