,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5D,4,5,4,3,4,36
1,champion,421,450,215,576,375,567,362,226,424,3616
2,Back,402,423,187,550,353,532,354,195,398,3394
3,Reg.,387,386,172,532,336,516,344,171,372,3216
4,Ladies,330,282,131,501,301,412,313,123,339,2732
5,Hdcp,9,3,11,1,13,5,17,15,7,­
