,大洞,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,5,4D,4,4,3N,4,36
1,BLACK,488,377,216,515,419,368,354,175,351,3263
2,BLUE,476,364,182,505,398,361,342,159,339,3126
3,WHITE,462,346,168,488,377,348,328,135,331,2983
4,RED,367,333,126,442,254,331,313,116,321,2603
5,Hdcp,2,9,6,3,1,4,8,7,5,­
