,東海カントリー倶楽部　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,5,4,4,4,3N,5D,4,36
1,Back,370,175,480,426,368,345,170,500,395,3229
2,Reg.,348,150,465,356,345,325,160,470,361,2980
3,LADY,289,135,387,296,278,276,151,403,326,2541
4,Hdcp,16,18,12,4,2,6,14,10,8,­
