,白鷺ゴルフクラブ　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,5D,3,4,5,3N,4,4,36
1,Back,435,351,507,165,391,561,212,329,404,3355
2,Reg.,407,346,502,141,365,534,148,285,377,3105
3,Ladies,295,259,416,87,305,410,109,255,300,2436
4,Hdcp,4,12,8,18,10,2,14,16,6,­
