,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4D,5,4,3N,5,4,36
1,Back T.,368,377,189,320,485,361,159,511,417,3187
2,Reg.,348,367,175,318,475,335,145,500,395,3058
3,champion,368,402,189,320,485,361,182,511,456,3274
4,Hdcp,7,2,5,8,1,4,9,6,3,­
