,摩耶　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3N,4,4,3,4,4,5D,36
1,Back T.,360,630,185,390,320,155,420,370,550,3380
2,Reg.,345,620,170,375,310,145,410,355,540,3270
3,Lady,340,450,140,370,300,130,350,350,420,2850
4,Hdcp,9,1,11,5,17,15,3,13,7,­
