,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,4,3N,5,4D,3,4,36
1,Back,444,317,282,330,130,466,370,157,376,2872
2,Regular,430,300,271,319,124,457,347,155,367,2770
3,Ladies,413,284,260,308,117,318,297,142,358,2497
4,Hdcp,6,3,7,4,9,2,1,8,5,­
