,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,4,3N,5,4,3,4D,35
1,Back,369,415,351,263,137,520,278,163,378,2874
2,Regular,351,398,338,248,124,502,269,152,347,2729
3,Ladies,288,383,329,231,106,484,260,142,331,2554
4,Hdcp,3,1,4,6,9,2,7,8,5,­
