,須磨　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,4D,3,4,3N,4,5,4,4,35
1,Reg.,380,370,160,390,180,280,485,330,410,2985
2,Lady,350,260,130,375,98,260,450,305,280,2508
3,Hdcp,5,1,11,13,9,17,7,15,3,­
