,ロイヤル　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,4,4,3,5D,4,3N,4,36
1,Back,527,404,367,367,199,564,426,169,433,3456
2,REGULAR,512,379,347,349,192,472,368,145,408,3172
3,Ladies,444,336,325,262,116,445,341,145,325,2739
4,Champ,547,425,388,397,211,574,481,189,448,3660
5,Hdcp,16,4,12,18,6,10,2,14,8,­
